asin,title,img_url,stars,review_count,price,list_price,category_id,is_best_seller,bought_in_last_month
B07HGWZ7LG,"Dttery 3 Post + 3 Foam & Felt Filters Kit Replacement for Shark Rocket Ultra-Light Vacuum HV292, HV300, HV300W, HV301, HV302, HV303, HV305, HV308, HV310, UV450 Part XFFV300",https://m.media-amazon.com/images/I/51gt2GkkkfL._AC_UL320_.jpg,4.7,12877,9.99,15.99,175,0,0
B0979R48CX,"Dyson V15 Detect Cordless Vacuum Cleaner, Multicolor, 10.5""L x 9.8""W x 49.6""H",https://m.media-amazon.com/images/I/613doEjslUL._AC_UL320_.jpg,4.6,1812,580.0,749.99,175,0,3000
B0BJDRGPMX,"Homeika Cordless Stick Vacuum Cleaner, 20Kpa Powerful Suction Vacuum Cleaner with LED Display, 30 Min Runtime Detachable Battery, 1.5L Dust Cup, for Carpet and Hard Floor Pet Hair (Pink)",https://m.media-amazon.com/images/I/71UUT0jU68L._AC_UL320_.jpg,4.3,3487,109.99,0.0,175,0,3000
B08RYJCM8S,Zmstlamp VLT-HC910LP VLT-HC100LP VLT-EX100LP Replacement Projector Lamp Bulb for Mitsubishi HC1100 HC1100U HC1500 HC1500U HC1600 HC1600U HC3000 HC3100 HC3000U HC910 HC910U HD1000 HD1000U with Housing,https://m.media-amazon.com/images/I/71GDvi7q4kL._AC_UL320_.jpg,3.8,25,47.99,0.0,69,0,0
B084ZMGTH6,EWO'S ELP50 Replacement Projector Lamp for Epson ELPLP50/V13H010L50 Powerlite 84 84+ 825 825+ 826W 826W+ 85 85+ Lamp Bulb Replacement,https://m.media-amazon.com/images/I/61uy53WuCsL._AC_UL320_.jpg,4.6,13,59.99,0.0,69,0,0
B094VBTRRT,VEVOR Movie Screen with Stand 180inch Portable Projector Screen 16:9 4K HD Wide Angle Outdoor Projector Screen with Stand Easy Assembly with Storage Bag for Indoor and Outdoor Use,https://m.media-amazon.com/images/I/71DOPXxzO0L._AC_UL320_.jpg,4.2,126,199.99,0.0,69,0,0
B0B8YZ5TR4,"Perlegear UL Listed Full Motion TV Wall Mount for Most 37–82 inch Flat Curved TVs up to 110 lbs, 12″/16″ Wood Studs, TV Mount Bracket with Articulating Arms, Swivel, Tool-Free Tilt, Max VESA 600x400mm",https://m.media-amazon.com/images/I/61j7MbimFsL._AC_UL320_.jpg,4.8,1864,45.99,69.99,69,0,0
B08D1VF18M,"LG Remote Magic Remote Control, Compatible with Many LG Models, Netflix and Prime Video Hot Keys, Google/Alexa",https://m.media-amazon.com/images/I/51OmsZo+ppL._AC_UL320_.jpg,4.4,8201,31.5,49.99,69,0,0
B07FB6VW1M,Mdbebbron 120 inch Projection Screen 16:9 Foldable Anti-Crease Portable Projector Movies Screens for Home Theater Outdoor Indoor Support Double Sided Projection,https://m.media-amazon.com/images/I/81lKMedjwaS._AC_UL320_.jpg,4.5,31842,25.99,35.99,69,1,0
B07M9BKHNZ,Google Chromecast (3rd Generation) Media Streamer - Black,https://m.media-amazon.com/images/I/61o5Ho2Iy5L._AC_UL320_.jpg,4.3,19726,35.59,49.99,69,0,0
B0882WGSRR,"ELIVED UL Listed Full Motion TV Monitor Wall Mount for Most 14-42 Inch LED LCD Flat Screen TVs & Monitors, Swivels Tilts Extension Rotation, TV Bracket Max VESA 200x200mm, up to 33 lbs.",https://m.media-amazon.com/images/I/61n3Ls7-0XL._AC_UL320_.jpg,4.6,5458,21.99,27.99,69,0,0
